Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
277,Grover Cleveland,Democratic,5554617,46.0
145,Benjamin Harrison,Republican,5186793,43.0
22,James B. Weaver,Populist,1029357,8.5
--,All others,--,300781,2.5
