Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
219,Andrew Jackson,Democratic,701780,54.2
49,Henry Clay,National-Republican,484205,37.4
11,John Floyd,Independent,0,0
7,William Wirt,Anti-Masonic,100715,7.8
--,All others,--,7273,0.6
