Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
180,Abraham Lincoln,Republican,1865908,39.9
72,John Breckenridge,Southern Democratic,848019,18.1
39,John Bell,Constitutional Union,590901,12.6
12,Stephen Douglas,Democratic,1380202,29.5
--,All others,--,531,--
