Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
233,Benjamin Harrison,Republican,5449825,47.8
168,Grover Cleveland,Democratic,5539118,48.6
--,All others,--,406140,3.6
