Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
183,James Monroe,Democratic-Republican,76592,68.2
34,Rufus King,Federalist,3474,30.9
--,Unpledged electors,--,1038,0.9
