Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
174,James Buchanan,Democratic,1836072,45.3
114,John C. Fremont,Republican,1342345,33.1
8,Millard Fillmore,Whig-American,873053,21.6
--,All others,--,3177,--
