Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
214,Ulysses S. Grant,Republican,3013650,52.7
80,Horatio Seymour,Democratic,2708744,47.3
--,All others,--,46,--
