Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
99,Andrew Jackson,Democratic-Republican,151271,41.3
84,John Quincy Adams,Democratic-Republican,113122,30.9
41,William H. Crawford,Democratic-Republican,40856,11.2
37,Henry Clay,Democratic-Republican,47531,13.0
--,All others,--,3053,3.6
