Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
254,Franklin Pierce,Democratic,1607510,50.8
42,Winfield Scott,Whig,1386942,43.9
0,John P. Hale,Free Soil,155210,4.9
--,All others,--,12168,0.4
