Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
170,Martin Van Buren,Democratic,764176,50.8
73,William Henry Harrison,Whig,550816,36.6
26,Hugh Lawson White,Whig,146107,9.7
14,Daniel Webster,Whig,41201,2.7
11,Willie Person Mangum,Whig,0,0
--,All others,--,1234,0.2
