Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
122,James Madison,Democratic-Republican,124732,64.7
47,Charles Cotesworth Pinckney,Federalist,62431,32.4
6,George Clinton,Democratic-Republican,0,0
--,James Monroe,Democratic-Republican,4848,2.5
--,Unpledged electors,--,680,0.4
