Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
286,Ulysses S. Grant,Republican,3598468,55.6
0,Horace Greeley,Democratic,2835315,43.8
--,All others,--,36893,0.6
