Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
178,Andrew Jackson,Democratic,642553,56.1
83,John Quincy Adams,National-Republican,500897,43.6
--,All others,--,4568,0.3
