Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
128,James Madison,Democratic-Republican,140431,50.4
89,DeWitt Clinton,Democratic-Republican,132781,47.6
--,Rufus King,Federalist,5574,2.0
