Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
214,James A. Garfield,Republican,4453611,48.3
155,Winfield S. Hancock,Democratic,4445256,48.2
--,All others,--,321330,3.5
