Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
234,William Henry Harrison,Whig,1275390,52.9
60,Martin Van Buren,Democratic,1128854,46.8
--,All others,--,7564,0.3
