Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
185,Rutherford B. Hayes,Republican,4033497,48.0
184,Samuel Tilden,Democratic,4288191,51.0
--,All others,--,89930,1.0
