Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
163,Zachary Taylor,Whig,1361393,47.3
127,Lewis Cass,Democratic,1223460,42.5
0,Martin Van Buren,Free Soil,291501,10.1
--,All others,--,2830,0.1
