Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
219,Grover Cleveland,Democratic,4915586,48.9
182,James G. Blaine,Republican,4852916,48.2
--,All others,--,289871,2.9
